q1;q2;q3;r0;J;R_;L_;C_;D_;Vi
0.001;0.001;1.755050183;0.001;0.008258877;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.600617547;0.001;0.241521446;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.989916714;0.001;0.257988854;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;1.712918025;0.001;0.00836062;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;1.147529246;0.001;0.010229212;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.947813196;0.001;0.256258972;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.088902434;0.001;0.007564731;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.165361477;0.001;0.007428796;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.49699532;0.001;0.006913319;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.7060447;0.001;0.246089967;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.52262003;0.001;0.23808511;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.332026825;0.001;0.007155993;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.746826867;0.001;0.247834586;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.540349757;0.001;0.238870571;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.443957119;0.001;0.006988656;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.540523635;0.001;0.238878261;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515424396;0.001;0.23776559;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.486731272;0.001;0.00692771;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.491599197;0.001;0.006920874;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.509188714;0.001;0.006896338;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.52646879;0.001;0.238255837;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.503953274;0.001;0.006903614;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.493954168;0.001;0.006917574;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.520967824;0.001;0.238011782;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.536039153;0.001;0.238679841;133.333;0.000111111;0.00005;0.5;20
